anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
3332,Plasterers,Plasterers,Plasterers,4,0
3333,Roof Tilers,Roof Tilers,Roof Tilers,4,0
3334,Wall and Floor Tilers,Wall and Floor Tilers,Wall and Floor Tilers,4,0
3341,Plumbers,Plumbers,Plumbers,4,0
3400,"Electrotechnology and Telecommunications Trades Workers, nfd","Electrotechnology and Telecommunications Trades Workers, nfd",Electrotechnology and Telecommunications Trades Workers nfd,4,1
3411,Electricians,Electricians,Electricians,4,0
3420,"Electronics and Telecommunications Trades Workers, nfd","Electronics and Telecommunications Trades Workers, nfd",Electronics and Telecommunications Trades Workers nfd,4,1
3421,Airconditioning and Refrigeration Mechanics,Airconditioning and Refrigeration Mechanics,Airconditioning and Refrigeration Mechanics,4,0
3422,Electrical Distribution Trades Workers,Electrical Distribution Trades Workers,Electrical Distribution Trades Workers,4,0
3423,Electronics Trades Workers,Electronics Trades Workers,Electronics Trades Workers,4,0
3424,Telecommunications Trades Workers,Telecommunications Trades Workers,Telecommunications Trades Workers,4,0
3510,"Food Trades Workers, nfd","Food Trades Workers, nfd",Food Trades Workers nfd,4,1
3511,Bakers and Pastrycooks,Bakers and Pastrycooks,Bakers and Pastrycooks,4,0
3512,Butchers and Smallgoods Makers,Butchers and Smallgoods Makers,Butchers and Smallgoods Makers,4,0
3513,Chefs,Chefs,Chefs,4,0
3514,Cooks,Cooks,Cooks,4,0
3600,"Skilled Animal and Horticultural Workers, nfd","Skilled Animal and Horticultural Workers, nfd",Skilled Animal and Horticultural Workers nfd,4,1
3610,"Animal Attendants and Trainers, and Shearers, nfd","Animal Attendants and Trainers, and Shearers, nfd","Animal Attendants and Trainers, and Shearers nfd",4,1
3611,Animal Attendants and Trainers,Animal Attendants and Trainers,Animal Attendants and Trainers,4,0
3612,Shearers,Shearers,Shearers,4,0
3613,Veterinary Nurses,Veterinary Nurses,Veterinary Nurses,4,0
3620,"Horticultural Trades Workers, nfd","Horticultural Trades Workers, nfd",Horticultural Trades Workers nfd,4,1
3621,Florists,Florists,Florists,4,0
3622,Gardeners,Gardeners,Gardeners,4,0
3623,Greenkeepers,Greenkeepers,Greenkeepers,4,0
3624,Nurserypersons,Nurserypersons,Nurserypersons,4,0
3900,"Other Technicians and Trades Workers, nfd","Other Technicians and Trades Workers, nfd",Other Technicians and Trades Workers nfd,4,1
3911,Hairdressers,Hairdressers,Hairdressers,4,0
3920,"Printing Trades Workers, nfd","Printing Trades Workers, nfd",Printing Trades Workers nfd,4,1
3921,Print Finishers and Screen Printers,Print Finishers and Screen Printers,Print Finishers and Screen Printers,4,0
3922,Graphic Pre-press Trades Workers,Graphic Pre-press Trades Workers,Graphic Pre-press Trades Workers,4,0
3923,Printers,Printers,Printers,4,0
3930,"Textile, Clothing and Footwear Trades Workers, nfd","Textile, Clothing and Footwear Trades Workers, nfd","Textile, Clothing and Footwear Trades Workers nfd",4,1
3931,Canvas and Leather Goods Makers,Canvas and Leather Goods Makers,Canvas and Leather Goods Makers,4,0
3932,Clothing Trades Workers,Clothing Trades Workers,Clothing Trades Workers,4,0
3933,Upholsterers,Upholsterers,Upholsterers,4,0
