anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
1000,"Managers, nfd","Managers, nfd",Managers nfd,4,1
1110,"Chief Executives, General Managers and Legislators, nfd","Chief Executives, General Managers and Legislators, nfd","Chief Executives, General Managers and Legislators nfd",4,1
1111,Chief Executives and Managing Directors,Chief Executives and Managing Directors,Chief Executives and Managing Directors,4,0
1112,General Managers,General Managers,General Managers,4,0
1113,Legislators,Legislators,Legislators,4,0
1210,"Farmers and Farm Managers, nfd","Farmers and Farm Managers, nfd",Farmers and Farm Managers nfd,4,1
1211,Aquaculture Farmers,Aquaculture Farmers,Aquaculture Farmers,4,0
1212,Crop Farmers,Crop Farmers,Crop Farmers,4,0
1213,Livestock Farmers,Livestock Farmers,Livestock Farmers,4,0
1214,Mixed Crop and Livestock Farmers,Mixed Crop and Livestock Farmers,Mixed Crop and Livestock Farmers,4,0
1300,"Specialist Managers, nfd","Specialist Managers, nfd",Specialist Managers nfd,4,1
1311,"Advertising, Public Relations and Sales Managers","Advertising, Public Relations and Sales Managers","Advertising, Public Relations and Sales Managers",4,0
1320,"Business Administration Managers, nfd","Business Administration Managers, nfd",Business Administration Managers nfd,4,1
1321,Corporate Services Managers,Corporate Services Managers,Corporate Services Managers,4,0
1322,Finance Managers,Finance Managers,Finance Managers,4,0
1323,Human Resource Managers,Human Resource Managers,Human Resource Managers,4,0
1324,Policy and Planning Managers,Policy and Planning Managers,Policy and Planning Managers,4,0
1325,Research and Development Managers,Research and Development Managers,Research and Development Managers,4,0
1330,"Construction, Distribution and Production Managers, nfd","Construction, Distribution and Production Managers, nfd","Construction, Distribution and Production Managers nfd",4,1
1331,Construction Managers,Construction Managers,Construction Managers,4,0
1332,Engineering Managers,Engineering Managers,Engineering Managers,4,0
1333,"Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers",4,0
1334,Manufacturers,Manufacturers,Manufacturers,4,0
1335,Production Managers,Production Managers,Production Managers,4,0
1336,"Supply, Distribution and Procurement Managers","Supply, Distribution and Procurement Managers",Supply and Distribution Managers,4,0
1340,"Education, Health and Welfare Services Managers, nfd","Education, Health and Welfare Services Managers, nfd","Education, Health and Welfare Services Managers nfd",4,1
1341,Child Care Centre Managers,Child Care Centre Managers,Child Care Centre Managers,4,0
1342,Health and Welfare Services Managers,Health and Welfare Services Managers,Health and Welfare Services Managers,4,0
1343,School Principals,School Principals,School Principals,4,0
1344,Other Education Managers,Other Education Managers,Other Education Managers,4,0
1351,ICT Managers,ICT Managers,ICT Managers,4,0
1390,"Miscellaneous Specialist Managers, nfd","Miscellaneous Specialist Managers, nfd",Miscellaneous Specialist Managers nfd,4,1
1391,Commissioned Officers (Management),Commissioned Officers (Management),Commissioned Officers (Management),4,0
1392,Senior Non-commissioned Defence Force Members,Senior Non-commissioned Defence Force Members,Senior Non-commissioned Defence Force Members,4,0
1399,Other Specialist Managers,Other Specialist Managers,Other Specialist Managers,4,0
1400,"Hospitality, Retail and Service Managers, nfd","Hospitality, Retail and Service Managers, nfd","Hospitality, Retail and Service Managers nfd",4,1
1410,"Accommodation and Hospitality Managers, nfd","Accommodation and Hospitality Managers, nfd",Accommodation and Hospitality Managers nfd,4,1
1411,Cafe and Restaurant Managers,Cafe and Restaurant Managers,Cafe and Restaurant Managers,4,0
1412,Caravan Park and Camping Ground Managers,Caravan Park and Camping Ground Managers,Caravan Park and Camping Ground Managers,4,0
1413,Hotel and Motel Managers,Hotel and Motel Managers,Hotel and Motel Managers,4,0
1414,Licensed Club Managers,Licensed Club Managers,Licensed Club Managers,4,0
1419,Other Accommodation and Hospitality Managers,Other Accommodation and Hospitality Managers,Other Accommodation and Hospitality Managers,4,0
1421,Retail Managers,Retail Managers,Retail Managers,4,0
1490,"Miscellaneous Hospitality, Retail and Service Managers, nfd","Miscellaneous Hospitality, Retail and Service Managers, nfd","Miscellaneous Hospitality, Retail and Service Managers nfd",4,1
1491,"Amusement, Fitness and Sports Centre Managers","Amusement, Fitness and Sports Centre Managers","Amusement, Fitness and Sports Centre Managers",4,0
1492,Call or Contact Centre and Customer Service Managers,Call or Contact Centre and Customer Service Managers,Call or Contact Centre and Customer Service Managers,4,0
1493,Conference and Event Organisers,Conference and Event Organisers,Conference and Event Organisers,4,0
1494,Transport Services Managers,Transport Services Managers,Transport Services Managers,4,0
1499,"Other Hospitality, Retail and Service Managers","Other Hospitality, Retail and Service Managers","Other Hospitality, Retail and Service Managers",4,0
2000,"Professionals, nfd","Professionals, nfd",Professionals nfd,4,1
2100,"Arts and Media Professionals, nfd","Arts and Media Professionals, nfd",Arts and Media Professionals nfd,4,1
2110,"Arts Professionals, nfd","Arts Professionals, nfd",Arts Professionals nfd,4,1
2111,"Actors, Dancers and Other Entertainers","Actors, Dancers and Other Entertainers","Actors, Dancers and Other Entertainers",4,0
2112,Music Professionals,Music Professionals,Music Professionals,4,0
2113,Photographers,Photographers,Photographers,4,0
2114,Visual Arts and Crafts Professionals,Visual Arts and Crafts Professionals,Visual Arts and Crafts Professionals,4,0
2120,"Media Professionals, nfd","Media Professionals, nfd",Media Professionals nfd,4,1
2121,"Artistic Directors, and Media Producers and Presenters","Artistic Directors, and Media Producers and Presenters","Artistic Directors, and Media Producers and Presenters",4,0
2122,"Authors, and Book and Script Editors","Authors, and Book and Script Editors","Authors, and Book and Script Editors",4,0
2123,"Film, Television, Radio and Stage Directors","Film, Television, Radio and Stage Directors","Film, Television, Radio and Stage Directors",4,0
2124,Journalists and Other Writers,Journalists and Other Writers,Journalists and Other Writers,4,0
2200,"Business, Human Resource and Marketing Professionals, nfd","Business, Human Resource and Marketing Professionals, nfd","Business, Human Resource and Marketing Professionals nfd",4,1
2210,"Accountants, Auditors and Company Secretaries, nfd","Accountants, Auditors and Company Secretaries, nfd","Accountants, Auditors and Company Secretaries nfd",4,1
2211,Accountants,Accountants,Accountants,4,0
2212,"Auditors, Company Secretaries and Corporate Treasurers","Auditors, Company Secretaries and Corporate Treasurers","Auditors, Company Secretaries and Corporate Treasurers",4,0
2220,"Financial Brokers and Dealers, and Investment Advisers, nfd","Financial Brokers and Dealers, and Investment Advisers, nfd","Financial Brokers and Dealers, and Investment Advisers nfd",4,1
2221,Financial Brokers,Financial Brokers,Financial Brokers,4,0
2222,Financial Dealers,Financial Dealers,Financial Dealers,4,0
2223,Financial Investment Advisers and Managers,Financial Investment Advisers and Managers,Financial Investment Advisers and Managers,4,0
2230,"Human Resource and Training Professionals, nfd","Human Resource and Training Professionals, nfd",Human Resource and Training Professionals nfd,4,1
2231,Human Resource Professionals,Human Resource Professionals,Human Resource Professionals,4,0
2232,ICT Trainers,ICT Trainers,ICT Trainers,4,0
2233,Training and Development Professionals,Training and Development Professionals,Training and Development Professionals,4,0
2240,"Information and Organisation Professionals, nfd","Information and Organisation Professionals, nfd",Information and Organisation Professionals nfd,4,1
2241,"Actuaries, Mathematicians and Statisticians","Actuaries, Mathematicians and Statisticians","Actuaries, Mathematicians and Statisticians",4,0
2242,"Archivists, Curators and Records Managers","Archivists, Curators and Records Managers","Archivists, Curators and Records Managers",4,0
2243,Economists,Economists,Economists,4,0
2244,Intelligence and Policy Analysts,Intelligence and Policy Analysts,Intelligence and Policy Analysts,4,0
2245,Land Economists and Valuers,Land Economists and Valuers,Land Economists and Valuers,4,0
2246,Librarians,Librarians,Librarians,4,0
2247,Management and Organisation Analysts,Management and Organisation Analysts,Management and Organisation Analysts,4,0
2249,Other Information and Organisation Professionals,Other Information and Organisation Professionals,Other Information and Organisation Professionals,4,0
2250,"Sales, Marketing and Public Relations Professionals, nfd","Sales, Marketing and Public Relations Professionals, nfd","Sales, Marketing and Public Relations Professionals nfd",4,1
2251,Advertising and Marketing Professionals,Advertising and Marketing Professionals,Advertising and Marketing Professionals,4,0
2252,ICT Sales Professionals,ICT Sales Professionals,ICT Sales Professionals,4,0
2253,Public Relations Professionals,Public Relations Professionals,Public Relations Professionals,4,0
2254,Technical Sales Representatives,Technical Sales Representatives,Technical Sales Representatives,4,0
2300,"Design, Engineering, Science and Transport Professionals, nfd","Design, Engineering, Science and Transport Professionals, nfd","Design, Engineering, Science and Transport Professionals nfd",4,1
2310,"Air and Marine Transport Professionals, nfd","Air and Marine Transport Professionals, nfd",Air and Marine Transport Professionals nfd,4,1
2311,Air Transport Professionals,Air Transport Professionals,Air Transport Professionals,4,0
2312,Marine Transport Professionals,Marine Transport Professionals,Marine Transport Professionals,4,0
2320,"Architects, Designers, Planners and Surveyors, nfd","Architects, Designers, Planners and Surveyors, nfd","Architects, Designers, Planners and Surveyors nfd",4,1
2321,Architects and Landscape Architects,Architects and Landscape Architects,Architects and Landscape Architects,4,0
2322,Surveyors and Spatial Scientists,Surveyors and Spatial Scientists,Surveyors and Spatial Scientists,4,0
2323,"Fashion, Industrial and Jewellery Designers","Fashion, Industrial and Jewellery Designers","Fashion, Industrial and Jewellery Designers",4,0
2324,"Graphic and Web Designers, and Illustrators","Graphic and Web Designers, and Illustrators","Graphic and Web Designers, and Illustrators",4,0
2325,Interior Designers,Interior Designers,Interior Designers,4,0
2326,Urban and Regional Planners,Urban and Regional Planners,Urban and Regional Planners,4,0
2330,"Engineering Professionals, nfd","Engineering Professionals, nfd",Engineering Professionals nfd,4,1
2331,Chemical and Materials Engineers,Chemical and Materials Engineers,Chemical and Materials Engineers,4,0
2332,Civil Engineering Professionals,Civil Engineering Professionals,Civil Engineering Professionals,4,0
2333,Electrical Engineers,Electrical Engineers,Electrical Engineers,4,0
2334,Electronics Engineers,Electronics Engineers,Electronics Engineers,4,0
2335,"Industrial, Mechanical and Production Engineers","Industrial, Mechanical and Production Engineers","Industrial, Mechanical and Production Engineers",4,0
2336,Mining Engineers,Mining Engineers,Mining Engineers,4,0
2339,Other Engineering Professionals,Other Engineering Professionals,Other Engineering Professionals,4,0
2340,"Natural and Physical Science Professionals, nfd","Natural and Physical Science Professionals, nfd",Natural and Physical Science Professionals nfd,4,1
2341,Agricultural and Forestry Scientists,Agricultural and Forestry Scientists,Agricultural and Forestry Scientists,4,0
2342,"Chemists, and Food and Wine Scientists","Chemists, and Food and Wine Scientists","Chemists, and Food and Wine Scientists",4,0
2343,Environmental Scientists,Environmental Scientists,Environmental Scientists,4,0
2344,"Geologists, Geophysicists and Hydrogeologists","Geologists, Geophysicists and Hydrogeologists",Geologists and Geophysicists,4,0
2345,Life Scientists,Life Scientists,Life Scientists,4,0
2346,Medical Laboratory Scientists,Medical Laboratory Scientists,Medical Laboratory Scientists,4,0
2347,Veterinarians,Veterinarians,Veterinarians,4,0
2349,Other Natural and Physical Science Professionals,Other Natural and Physical Science Professionals,Other Natural and Physical Science Professionals,4,0
2400,"Education Professionals, nfd","Education Professionals, nfd",Education Professionals nfd,4,1
2410,"School Teachers, nfd","School Teachers, nfd",School Teachers nfd,4,1
2411,Early Childhood (Pre-primary School) Teachers,Early Childhood (Pre-primary School) Teachers,Early Childhood (Pre-primary School) Teachers,4,0
2412,Primary School Teachers,Primary School Teachers,Primary School Teachers,4,0
2413,Middle School Teachers,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),Middle School Teachers (Aus) / Intermediate School Teachers (NZ),4,0
2414,Secondary School Teachers,Secondary School Teachers,Secondary School Teachers,4,0
2415,Special Education Teachers,Special Education Teachers,Special Education Teachers,4,0
2420,"Tertiary Education Teachers, nfd","Tertiary Education Teachers, nfd",Tertiary Education Teachers nfd,4,1
2421,University Lecturers and Tutors,University Lecturers and Tutors,University Lecturers and Tutors,4,0
2422,Vocational Education Teachers,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),4,0
2490,"Miscellaneous Education Professionals, nfd","Miscellaneous Education Professionals, nfd",Miscellaneous Education Professionals nfd,4,1
2491,Education Advisers and Reviewers,Education Advisers and Reviewers,Education Advisers and Reviewers,4,0
2492,Private Tutors and Teachers,Private Tutors and Teachers,Private Tutors and Teachers,4,0
2493,Teachers of English to Speakers of Other Languages,Teachers of English to Speakers of Other Languages,Teachers of English to Speakers of Other Languages,4,0
2500,"Health Professionals, nfd","Health Professionals, nfd",Health Professionals nfd,4,1
2510,"Health Diagnostic and Promotion Professionals, nfd","Health Diagnostic and Promotion Professionals, nfd",Health Diagnostic and Promotion Professionals nfd,4,1
2511,Nutrition Professionals,Nutrition Professionals,Dietitians,4,0
2512,Medical Imaging Professionals,Medical Imaging Professionals,Medical Imaging Professionals,4,0
2513,Occupational and Environmental Health Professionals,Occupational and Environmental Health Professionals,Occupational and Environmental Health Professionals,4,0
2514,Optometrists and Orthoptists,Optometrists and Orthoptists,Optometrists and Orthoptists,4,0
2515,Pharmacists,Pharmacists,Pharmacists,4,0
